,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Category,Variable,mean,min,max,std,kfold 1 MAE,kfold 1 R2,kfold 1 MAPE,kfold 1 MPE,kfold 1 Sum E,kfold 1 Abs Sum E,kfold 2 MAE,kfold 2 R2,kfold 2 MAPE,kfold 2 MPE,kfold 2 Sum E,kfold 2 Abs Sum E,kfold 3 MAE,kfold 3 R2,kfold 3 MAPE,kfold 3 MPE,kfold 3 Sum E,kfold 3 Abs Sum E,kfold 4 MAE,kfold 4 R2,kfold 4 MAPE,kfold 4 MPE,kfold 4 Sum E,kfold 4 Abs Sum E,kfold 5 MAE,kfold 5 R2,kfold 5 MAPE,kfold 5 MPE,kfold 5 Sum E,kfold 5 Abs Sum E
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Infrastructure,perc_yes_electricity,0.9527146188676512,0.2996081225507659,1.0,0.0642167487590912,0.03004938752712194,0.06148007646973974,3.78636236458617,-2.292369733865384,-35.72288868285247,69.86482600055851,0.022124630900361906,0.44525078572183074,2.7859190661653823,-1.7338328587672303,-27.632057164679246,51.43976684334143,0.015559174830000261,0.7243333448170437,1.9178526128848898,-0.5674564303578736,-6.977658604155267,36.17508147975061,0.01885874685240937,0.6491722309475403,2.3059991152966766,-1.4285937955104075,-24.042793665896138,43.84658643185179,0.012118016744535626,0.8343945231837879,1.4702362689354767,-0.29196656894231326,-3.2699421093566094,28.174388931045332
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Infrastructure,perc_no_piped_water,0.1492034291168668,0.0,0.9863013698630136,0.1808344245432474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Infrastructure,perc_sewage_system,0.408191852384961,0.0,0.991170191772958,0.3275709992387141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Infrastructure,perc_electricity_fuelcook,0.0014100262066867,0.0,0.0678007290400972,0.0030309236457149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Infrastructure,perc_yes_phone,0.2424880280786533,0.0,0.8520022883295194,0.1558016141658708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Infrastructure,perc_yes_cell,0.4094249689578485,0.0,0.923304084293618,0.2606859513021651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Infrastructure,perc_yes_internet,0.0692077108461165,0.0,0.6603710362863681,0.0852354337353085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Infrastructure,perc_trash_burned,0.3702921978348394,0.0,1.0,0.3013027391678088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Infrastructure,perc_yes_autos,0.3332567174980155,0.0,0.9457108578284344,0.2025683213379272,0.10127016068557476,0.5828148250236285,inf,-inf,-19.242344650644117,235.45312359396132,0.08902189863545995,0.6552797436485767,inf,-inf,75.96546272633667,206.9759143274444,0.060900306598020315,0.8153357655211225,inf,-inf,26.047311079484167,141.59321284039723,0.05836919930782464,0.8255299832167656,inf,-inf,-7.214598327148021,135.70838839069228,0.04528230693543709,0.898750532681566,inf,-inf,-19.381591825950206,105.28136362489124
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Infrastructure,perc_yes_hotwater,0.2714062441780102,0.0,0.911517696460708,0.2488168784628961,0.07686012653994144,0.7938812165621759,inf,-inf,10.890562725062793,178.69979420536384,0.0596743285814044,0.8731538107740318,inf,-inf,-29.217058086958406,138.74281395176524,0.05630707665178409,0.8859038278601008,inf,,-10.239221530225754,130.913953215398,0.04327189636268884,0.9228608048133115,inf,,-9.062927061882498,100.60715904325156,0.11987126859724315,0.5409787907321709,inf,-inf,-20.684030382153278,278.7006994885903
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Infrastructure,perc_yes_computer,0.1281093297316574,0.0,0.6990601503759398,0.109737620738665,0.05715621352629344,0.44136417580174936,inf,-inf,26.002749778817524,132.88819644863224,0.046204576949616064,0.5797694319310736,inf,-inf,19.914298695067988,107.42564140785734,0.03437770329496288,0.7659067143559881,inf,-inf,17.779387902955637,79.9281601607887,0.030572763900584558,0.8031039218304706,inf,-inf,-7.565952673067227,71.0816760688591,0.027065590093300507,0.8175852905856736,inf,,23.462366555373297,62.92749696692368
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,Infrastructure,perc_yes_washer,0.4889546007230107,0.000836820083682,0.9688062387522496,0.2613546740213696,0.0933311250227774,0.766265307143263,75.46355105167754,-58.675904559302616,-7.845861380309611,216.99486567795748,0.06205891130393759,0.8704632965532517,69.59378531833089,-57.06572140841622,-11.48440704992488,144.2869687816549,0.06336113941534971,0.8831088565519364,46.38677399575526,-34.58062918540614,-16.698207748443636,147.31464914068806,0.05739602136780499,0.8939797925738739,39.22104592926544,-25.874052894287885,-32.16435133791044,133.4457496801466,0.0530895978845526,0.9064972034524753,34.541329480638346,-20.82767526159126,-19.984647092730548,123.4333150815848
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,Infrastructure,perc_yes_refrig,0.6542633817909185,0.0146908414690841,0.9860869565217392,0.2419054591371548,0.052291773293923,0.8841082842478021,16.414710449158125,-10.495170260852209,-38.179566242148574,121.57837290837097,0.053742962475423206,0.8938421375419006,16.478223455728553,-7.616758327268766,9.261756084511585,124.95238775535896,0.05227490999640722,0.9062636804603843,14.532751650128414,-3.806802997149089,25.671885348508667,121.5391657416468,0.04548745658214904,0.922147734868698,11.741114898253878,-1.9667279257734478,13.467829487870048,105.75833655349652,0.040896385200607205,0.9355366347000769,10.502689298176165,-1.202481558508142,6.013025201509302,95.08409559141175
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,Infrastructure,perc_yes_tv,0.8348951580501812,0.0609191307445671,0.9956142200480748,0.1646433822762742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,Infrastructure,perc_yes_radio,0.7116026289191553,0.1393011010052657,0.9888888888888888,0.1402680410506712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,Infrastructure,avg_room_num,3.4015322988745536,1.948667324777888,5.889334749918274,0.5412060428124681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,Infrastructure,perc_no_toilet,0.07851849354306,0.0,0.744004875592888,0.0929544858222112,0.05441266519001682,-0.07184631954180865,inf,-inf,71.98446915834317,126.50944656678911,0.05225547572998051,-0.026142925176287912,inf,-inf,66.2981741854466,121.49398107220469,0.042877726625763606,0.2854846083110484,inf,-inf,36.74429468973648,99.69071440490038,0.03247015173855472,0.5503362343043917,inf,-inf,25.79205619334351,75.49310279213972,0.022512120562941884,0.7759297565240336,inf,,0.9176898633606285,52.34068030883988
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,Infrastructure,perc_yes_school,0.2839249881795113,0.1505964214711729,0.4270822917708229,0.0350287941888908,0.025671025549268443,0.07000390471163631,9.213572008398621,0.3788479709856533,12.319250450291623,59.68513440204913,0.01597804296646371,0.5781715976978591,6.017269126615106,-2.7759939520450794,-13.016975267968187,37.148949897028125,0.012686917541828241,0.7236875037501955,4.633658362413269,-0.03156618516876016,2.9679350115442213,29.49708328475066,0.012514374849472642,0.729450773972891,4.5086644463402115,0.7503686291476915,6.497935027637476,29.09592152502389,0.01018467796443143,0.821403292894967,3.7992283920962855,-1.2884299245970698,-6.283435027009829,23.669191589338645
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,Infrastructure,perc_yes_literacy,0.7550502764780699,0.3470945176077797,0.8989108236895847,0.0825941613036936,0.025950980774619412,0.7247146338154872,3.6924449537406168,-0.736061276286159,-6.2553033879226305,60.33603030099013,0.02471255278913561,0.7947980481080226,3.5201249972028794,-1.467389714925772,-19.48818079142033,57.45668523474029,0.01892041268206909,0.8785950434158256,2.6856022656544933,0.3429672136596657,8.330279792266502,43.98995948581063,0.018119335714321897,0.9050637741661569,2.533843022594085,-1.5090616106619126,-24.467064236683235,42.12745553579841,0.014258033184768329,0.9350843396329155,2.022421141573421,-0.07460745723022534,1.029174769836081,33.149927154586365
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,Infrastructure,perc_less_than_primary_edu,0.4418119081313013,0.1713305001634521,0.7562580796803384,0.0989852704244234,0.03788557016037178,0.752617996339411,9.54001415441567,-2.136486325859417,-2.427015353487335,88.08395062286439,0.023813203755173117,0.8827065155170877,5.930292380769383,-0.9464521046200358,2.3468431937233585,55.365698730777495,0.01867678237416464,0.9170661131062862,4.552522396520453,-0.7391151757838965,-2.341462914393748,43.42351901993279,0.016436555093482148,0.9458377472771182,4.040761456384056,0.45938064761734365,10.590150307370816,38.21499059234599,0.020627840227510044,0.9214274408604873,5.206981226602578,2.3057374683886356,19.82186065192381,47.95972852896085
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,Infrastructure,perc_primary_edu,0.3931920412821014,0.1394843530565198,0.6339285714285714,0.0600913448453633,0.02024782808406298,0.763396281937925,5.241933575758108,0.47562229243085646,8.731918757891048,47.076200295446434,0.017229593917790928,0.8179582288385179,4.474896858415373,-0.92986689750565,-4.0417143496519445,40.058805858863906,0.012911002540788044,0.892732692029839,3.5880356929864536,1.3014931125673048,12.206316968535768,30.0180809073322,0.010450932336193678,0.9288855065402772,2.816556752090923,0.20091801209292612,3.616288265323028,24.298417681650303,0.009561977874756381,0.9452334948196126,2.6158674392525154,-1.0000975286757399,-7.00943941798271,22.231598558808585
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,Infrastructure,perc_secondary_edu,0.0763671779923882,0.0,0.2661674608577263,0.0441042959941151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,Infrastructure,perc_university_edu,0.0237230099382832,0.0,0.2354527623406342,0.0271106412429335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,Infrastructure,perc_wood_fuelcook,0.4540606663668825,0.0,1.0,0.3357747440482957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,Infrastructure,perc_trash_collected_directly,0.553044515737706,0.0,1.0,0.3253165342040661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,Infrastructure,avg_YRSCHOOL,5.162335012618446,1.8542719473498648,9.733151803948264,1.1323049855832157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,Social,total_pop,48030.94766194766,90.0,5210265.0,191637.67427001783,41253.41022463563,0.3306136215337371,124.64739577748082,-64.27564829288957,13155837.990905762,95914178.77227783,33806.51647985971,0.4925551009855249,174.27439189419516,-136.12964685939988,36841779.68676758,78600150.81567383,31741.17865638651,0.5079903442426982,118.6946994194745,-64.14130153636421,55411640.17443848,73798240.37609863,32801.746730300736,0.36749877063181746,118.04254413919288,-63.961182857152195,31023919.837402344,76264061.14794922,35760.98941295993,0.5748308413491853,148.16625425023182,-92.72179667913463,31460691.489135742,83144300.38513184
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,Social,weighted_avg_income,692270.7647379297,451129.6654545455,962387.296589525,57579.080573309424,41634.90818714648,0.11838580403440824,6.081238887946823,-1.2729367201269421,-10848279.260199651,96801161.53511557,41503.23056152968,0.13177421469978357,6.096884506197455,-1.8530245824928242,-20345440.26019965,96495011.0555565,39941.93465769808,0.16196716013160373,5.75737924987028,-0.05689687516831269,8303136.114800351,92864998.07914804,38707.1869449283,0.20131294648126963,5.5630350353413505,0.39633868125517524,15084830.239800349,89994209.64695829,37585.17558427712,0.23545158938038158,5.436982251288595,-0.2455961378884259,4459052.489800351,87385533.23344432
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,Social,weighted_avg_earned_income,986.9956468867408,22.6765873015873,7415.757116104869,656.4518998659167,328.2799499112663,0.4515169794423006,52.71393164888212,-28.26763190424324,61040.42142132715,763250.8835436942,290.4698271210065,0.5404856935525888,50.533976267033275,-29.497494811762053,50253.65988568261,675342.3480563401,253.53452136194798,0.6202554775581856,38.93823321713065,-14.204631149403014,217312.77171734767,589467.7621665291,234.14693223591323,0.6781802267831352,38.62695820649494,-18.173849085845532,114682.33363751366,544391.6174484983,224.19124121828006,0.7136034540215613,36.44612546652274,-15.74187493459706,52023.964496888664,521244.6358325011
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,Social,perc_rural,0.6049934922518092,0.0,1.0,0.356447176758293,0.23775448471890936,0.17339742221438725,inf,,-2.1710418147496053,552.7791769714643,0.23112877983353516,0.21309539799208743,inf,-inf,-134.8905351386867,537.3744131129693,0.1594703549391665,0.523882968495188,inf,-inf,-22.473739242320423,370.7685752335621,0.14849776614742627,0.6255282982402088,inf,-inf,-181.63210202581206,345.2573062927661,0.13909145449315505,0.6581766414247137,inf,,34.42661010646308,323.38763169658546
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,Social,perc_owned,0.8621135229037643,0.4612722834986251,0.9990128331688056,0.0882097329054707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,Social,perc_married_with_children_hhtype,0.4918957066889459,0.2176110667730779,0.7408944543828265,0.0685349462236576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,Social,perc_single_parent_hhtype,0.0687226731399633,0.0119712689545091,0.1727559765448804,0.0202422177043233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,Social,perc_extended_family_hhtype,0.3229803169779018,0.0788550983899821,0.6554934823091247,0.0656908770163715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,Social,avg_nfams,1.0280128294157194,1.0,1.3208973520758418,0.0224937690519092,0.01358142569449384,-0.02063098698767485,1.293881791640161,0.3351249316346896,9.045257575112469,31.57681473969818,0.013547430437342916,-0.025502895832348216,1.2901335977446708,0.3709436939954591,9.90011513908495,31.49777576682228,0.013483046452475358,-0.03496249872792756,1.2829034748949286,0.47063554968694177,12.263799078065047,31.348083002005207,0.013095439547020317,0.020809824627468165,1.2469892395538524,0.3789797339243782,10.031979090767983,30.446896946822235,0.012112782485611791,0.1225295459410628,1.1535976363081362,0.2918189602660203,7.890626914101733,28.162219279047413
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,Social,perc_single,0.5039426893893079,0.3440643863179074,0.6415328587982122,0.0413796432596906,0.03037327332679084,0.08859892031295535,6.101322690495139,-0.5794907768646191,0.7660820246164328,70.61786048478871,0.022837728159642745,0.420143960324167,4.583766238283375,0.20922209940080252,7.043532258314334,53.09771797116938,0.01415862150536813,0.7534820866662044,2.848518041483362,0.23929777585011452,4.709282672447404,32.9187949999809,0.01319217401135521,0.7885684854514021,2.649692809776383,0.14392923785992887,3.2262255013410663,30.671804576400863,0.0,0.0,0.0,0.0,0.0,0.0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,Social,perc_married,0.4234044717535762,0.3147657672570766,0.5438165438165438,0.0337290653283448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,Social,avg_chborn,1.1034455415296105,0.5772936891026216,2.152046783625731,0.1859430474958165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,Social,avg_chsurv,0.9854584373569264,0.5640151447181898,1.7570093457943925,0.1388014331595067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,Social,avg_num_years_from_last_birth,6.704903522007276,3.2962432915921287,15.748538011695906,1.2519262839855636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,Social,avg_chdead,0.1176353494212926,0.0130991045954529,0.566127497621313,0.0611731841533428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,Social,perc_foreign_born_nativity,0.0076785228802607,0.0,0.1217950518127439,0.0101156912867558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,Social,perc_employed,0.3278511867482711,0.0438489646772229,0.5781818181818181,0.0613467790108805,0.040668654546813704,0.22398048888423638,14.607316775988124,-6.022656397520359,-16.46331617684187,94.55462182134187,0.03339965235670066,0.457982073440083,11.831503865084073,-4.293612614095968,-10.65005453378977,77.65419172932903,0.025886076285973832,0.6646958245310359,8.74805187652186,-1.047713460179178,2.342619071890695,60.18512736488916,0.045229269750112995,0.08568240165313956,16.18556011616504,-6.325134120738289,-14.717603628347536,105.1580521690127,0.042206519374873804,0.20038423116931414,14.666904862207305,-3.4662269480768706,2.664448197175843,98.1301575465816
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,Social,perc_disabled,0.015835983950203,0.0,0.1241830065359477,0.0096315254981878,0.006704613676963531,-0.0274871622066859,inf,-inf,3.716411819335698,15.58822679894021,0.006693731079700037,-0.039957772888342236,inf,-inf,4.480840829786651,15.562924760302586,0.006694653279256954,-0.0382227459024993,inf,-inf,4.3824787769734375,15.56506887427242,0.006710318303211496,-0.06600704160298054,inf,-inf,5.630163787518358,15.601490054966728,0.006713712145763952,-0.08155798692944072,inf,-inf,6.401652987700576,15.609380738901189
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,Social,perc_no_coverage_hlthcov,0.3776209163173413,0.0128369704749679,0.9813857290589452,0.1877587167188321,0.14008661249190138,0.0402047247355386,50.68536559548703,-19.566852402771165,96.968976814586,325.70137404367074,0.09808532211357422,0.517010907294217,39.78159196665641,-21.947535630824223,-18.207969333690354,228.04837391406005,0.08141705520593748,0.6376142072833983,31.34575307003282,-11.35277326539597,37.0541523586095,189.29465335380462,0.07597900641943417,0.6560531130100191,27.74210546253308,-9.349461198003265,12.752445210057559,176.65118992518444,0.04661684693801335,0.8588496728636283,16.718323767153063,-5.034567524310987,-0.7387842793881303,108.38416913088103
